;Unnamed: 0;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
7524;6811772;7562216265;GDK7294;NY;PAS;04/25/2014;14;4DSD;TOYOT;T;17250;10350;10210;20150122;9.0;9;9;355137;T800;A2;0935P;;NY;F;141;E 13th St;;0.0;408.0;c;;YYYYYYY;0600P;0700A;GY;;2007.0;;0.0;B 77;14-No Standing;;;
7526;5731621;7806361078;GMV5940;NY;PAS;02/28/2014;21;4DSD;INFIN;T;9830;6880;6980;20140424;62.0;62;62;355542;T302;Q;0910A;;K;O;1825;65th St;;0.0;408.0;d1;;Y;0830A;1000A;WHITE;;2014.0;;0.0;W 32;21-No Parking (street clean);;;
7527;2526653;7087676386;244943N;NJ;PAS;10/23/2013;38;4DSD;ME/BE;T;28830;14780;32480;88888888;61.0;61;61;357105;T302;I;0441P;;K;F;2680;Coney Island Ave;;0.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;;0.0;41 -;38-Failure to Display Muni Rec;;;
7540;4730437;7128315986;CLS8744;NY;PAS;12/26/2013;21;4DSD;ME/BE;T;8390;7990;37290;20151009;114.0;114;114;358657;T401;D;0849A;;Q;F;31-50;33rd St;;0.0;408.0;d1;;Y  Y;0830A;1000A;DKB;;1987.0;;0.0;31 -;21-No Parking (street clean);;;
7541;1142662;7095912178;GEX4925;NY;PAS;09/06/2013;10;4DSD;HYUND;T;10010;18510;18530;20150430;19.0;19;19;358934;T103;H;0140P;;NY;F;1461;1st Ave;;0.0;408.0;b;;YYYYYYY;;;GY;;2006.0;;0.0;61 -;10-No Stopping;;;
7551;688294;7099929744;CLD1148;NY;PAS;08/20/2013;21;4DSD;HONDA;T;59990;12840;51790;20130708;112.0;112;112;358148;T401;K;0808A;;Q;F;95-58;Queens Blvd;;0.0;408.0;d1;;Y;0800A;0830A;GY;;2005.0;;0.0;55-P;21-No Parking (street clean);;;
7555;7320117;8000452870;FRD9559;NY;PAS;04/04/2014;14;4DSD;HYUND;T;0;0;0;20151011;43.0;43;43;355679;T202;O;0707A;;BX;I;S;Purdy St;50ft E/of St Raymond;0.0;408.0;c;;YYYYYYY;0700A;0400P;BL;;2009.0;;0.0;F 22;14-No Standing;;;
7560;7876556;7622850901;EJA5498;NY;PAS;05/12/2014;20;4DSD;TOYOT;T;20530;33730;32130;20160531;76.0;76;76;347637;T730;F;0838A;;K;F;260;Bond St;;0.0;408.0;d;;YYYYY;0800A;0600P;WH;;2014.0;;0.0;01 3;20A-No Parking (Non-COM);;;
7563;5104891;7069057192;CDHV40;FL;PAS;02/01/2014;21;4DSD;HONDA;T;31190;37550;37570;20141288;34.0;34;34;354084;T103;L;0741A;;NY;O;1616;St Nicholas Ave;;0.0;408.0;d1;;Y;0730A;0800A;WHITE;;0.0;;0.0;CC1;21-No Parking (street clean);;;
7566;4366832;4002440000;EWW1758;NY;PAS;01/31/2014;5;4DSD;HONDA;V;0;0;0;0;;0;0;0;;;1117A;;;;;WB FORDHAM RD @ MARI;ON AVE;0.0;1111.0;C;T;;;;BL;;2005.0;;0.0;;BUS LANE VIOLATION;;;
7572;1539016;7784702954;EVJ1216;NY;PAS;09/19/2013;51;4DSD;BMW;T;7640;28790;57390;20131110;114.0;114;114;333008;T401;O;0124P;;Q;F;26-38;28th St;;0.0;408.0;e3;;;;;BK;;2008.0;;0.0;G -;51-Sidewalk;;;
7579;3437424;7519994673;89WF35;MA;PAS;11/22/2013;21;4DSD;VOLVO;T;5280;8730;8780;20130588;72.0;72;72;350415;T802;B;0102A;;K;O;4306;3rd Ave;;0.0;408.0;d1;;Y  Y;1200A;0300A;BLUE;;0.0;;0.0;26 -;21-No Parking (street clean);;;
7583;8822344;7646761540;606556;NY;PAS;06/15/2014;20;4DSD;HYUND;T;7830;9600;23800;20160421;45.0;45;45;346400;T202;O;0708A;;BX;F;120;Alcott Pl;;0.0;408.0;d;;YYYYYYY;;;RD;;2011.0;;0.0;D 22;20A-No Parking (Non-COM);;;
7586;2391341;7528336737;AGV8925;NY;PAS;10/18/2013;21;4DSD;TOYOT;T;34130;45130;78130;20150814;90.0;90;90;356345;T301;S;0826A;;K;F;705;Driggs Ave;;0.0;408.0;d1;;Y  Y;0800A;0930A;GY;;2009.0;;0.0;14 -;21-No Parking (street clean);;;
7596;1836341;7490201743;CCH0887;MI;PAS;09/30/2013;38;4DSD;PONTI;T;49690;0;0;20131288;107.0;107;107;353158;T402;C;1207P;;Q;I;N;Hillside Ave;40ft E/of 162nd St;0.0;408.0;h1;;Y;0900A;0700P;GREY;;0.0;;0.0;02 -;38-Failure to Display Muni Rec;;;
7598;7997940;7706707222;GJP6112;NY;PAS;05/16/2014;46;4DSD;NISSA;T;37462;67835;59353;20150725;61.0;61;61;331325;T302;L;1111A;;K;O;2370;E 64th St;;0.0;408.0;f1;;;;;GY;;1999.0;;0.0;O 32;46A-Double Parking (Non-COM);;;
7600;1835980;7513410800;FXW3768;NY;PAS;09/30/2013;19;4DSD;INFIN;T;41930;31830;19230;20140726;77.0;77;77;355624;T301;O;0459P;;K;F;621;Franklin Ave;;0.0;408.0;c3;;YYYYYYY;;;GL;;1999.0;;0.0;J -;19-No Stand (bus stop);;;
7608;5343849;7429195246;T503403C;NY;OMT;02/12/2014;24;4DSD;LINCO;T;42240;0;0;20140630;102.0;102;102;353398;T402;M;0707A;;Q;I;W;Dexter Ct;45ft N/of Jamaica Av;0.0;408.0;d5;;YYYYYYY;;;GY;;2003.0;;0.0;D -;24-No Parking (exc auth veh);;;
7609;307995;7565855534;BTP6286;TX;PAS;08/05/2013;14;4DSD;MAZDA;T;47520;77150;22920;20130088;49.0;49;49;358189;T202;B;0807A;;BX;O;707;Lydig Ave;;0.0;408.0;c;;YYYYY;0800A;0400P;GREY;;0.0;;0.0;01A;14-No Standing;;;
7611;2839579;7860366289;GVZ9408;PA;PAS;11/02/2013;31;4DSD;TOYOT;T;34630;10610;10810;88880088;14.0;14;14;358857;T102;J;1023A;;NY;O;229;W 43rd St;;0.0;408.0;l3;;Y;0700A;0600P;GREY;;0.0;;0.0;26 -;31-No Stand (Com. Mtr. Zone);;;
7612;8128311;7291523310;GNH4180;NY;PAS;05/21/2014;37;4DSD;MAZDA;T;51090;19840;19940;20160427;102.0;102;102;358946;T402;E;0602P;0555P;Q;F;105-06;Jamaica Ave;;20140521.0;408.0;h1;;Y;0930A;0700P;BK;;2004.0;446-3004;0.0;17 4;37-Expired Muni Meter;;;
7616;4690121;7000997916;FSC8714;NY;PAS;12/16/2013;21;4DSD;DODGE;T;18740;7990;51010;20150912;115.0;115;115;349511;T401;L;0910A;;Q;F;31-22;94th St;;0.0;408.0;d1;;Y;0830A;1000A;RD;;2006.0;;0.0;J -;21-No Parking (street clean);;;
7617;5296945;7728239715;ASL8087;NY;PAS;02/10/2014;20;4DSD;TOYOT;T;73470;73380;65130;20150802;73.0;73;73;357051;T301;L;0909A;;K;O;774;Rockaway Ave;;0.0;408.0;d;;YYYYY;0700A;0600P;SILVE;;2012.0;;0.0;M -;20A-No Parking (Non-COM);;;
7623;5508875;4002519211;FZK2980;NY;PAS;02/20/2014;5;4DSD;LEXUS;V;6110;40404;40404;0;;0;0;0;;;0250P;;;;;NB 1ST AVE @ 86TH ST;;0.0;1111.0;C;T;;;;GY;;2013.0;;0.0;;BUS LANE VIOLATION;;;
7638;6817072;7569019313;GBL2437;NY;PAS;04/17/2014;38;4DSD;NISSA;T;27300;40404;40404;20140819;46.0;46;46;358865;T201;F;0644P;;BX;F;36;E 188th St;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2004.0;;0.0;28 2;38-Failure to Display Muni Rec;;;
7641;6924310;7890713710;K93DPK;NJ;PAS;04/21/2014;31;4DSD;TOYOT;T;34530;10810;10910;88888888;14.0;14;14;358623;T102;I;0227P;;NY;F;330;W 38th St;;0.0;408.0;l3;;YYYYY;0600A;0700P;SILVE;;0.0;;0.0;99 6;31-No Stand (Com. Mtr. Zone);;;
7647;8984872;7060547654;ZU3614;VA;PAS;06/21/2014;31;4DSD;NISSA;T;24890;18110;18130;20150588;17.0;17;17;345540;T106;X;1028A;;NY;F;681;Lexington Ave;;0.0;408.0;l3;;Y;0700A;0700P;GREY;;0.0;;0.0;60 6;31-No Stand (Com. Mtr. Zone);;;
7651;4097623;7130717452;GRH4416;PA;PAS;01/19/2014;14;4DSD;KIA;T;18790;25390;27790;20140388;19.0;19;19;355417;T103;H;1057A;;NY;O;55;E 90th St;;0.0;408.0;c;;YYYYYYY;;;RED;;0.0;;0.0;34 -;14-No Standing;;;
7655;5582962;7603223519;GDE8786;NY;PAS;02/24/2014;71;4DSD;ACURA;T;17250;10210;10110;20141217;9.0;9;9;350423;T105;N;0620P;;NY;F;251;E 13th St;;0.0;408.0;j6;;YYYYYYY;;;BK;;2007.0;;0.0;T 99;71A-Insp Sticker Expired (NYS);;;
7658;4179228;7720378970;GGC1712;NY;PAS;01/24/2014;31;4DSD;NISSA;T;34870;10510;10610;20150501;18.0;18;18;342966;T503;A1;0922A;;NY;O;126;W 55th St;;0.0;408.0;l3;;YYYYY;0700A;0600P;BLACK;;0.0;;0.0;18 -;31-No Stand (Com. Mtr. Zone);;;
7661;2385524;7104686710;FEC3044;NY;PAS;10/18/2013;21;4DSD;MITSU;T;5580;9430;9480;20140818;72.0;72;72;333042;T302;M;0807A;;K;F;5705;5th Ave;;0.0;408.0;d1;;Y;0800A;0830A;GY;;2004.0;;0.0;J -;21-No Parking (street clean);;;
7662;1456812;7918231703;YA5DOB;MO;PAS;09/17/2013;38;4DSD;NISSA;T;17270;10210;10110;20131288;9.0;9;9;358594;T102;J;0240P;;NY;F;223;E 14th St;;0.0;408.0;h1;;Y;0800A;0700P;BLACK;;0.0;;0.0;39 -;38-Failure to Display Muni Rec;;;
7665;8494784;7757531809;BGJ2719;NY;PAS;06/03/2014;38;4DSD;HONDA;T;54580;14240;14390;20160114;107.0;107;107;353451;T402;B;0420P;;Q;O;68-09;Main St;;0.0;408.0;h1;;YYYYY;0800A;0700P;BK;;2011.0;;0.0;06 4;38-Failure to Display Muni Rec;;;
7666;3173038;7506631775;GBU6960;NY;PAS;11/14/2013;21;4DSD;VOLKS;T;66330;19530;18630;20140926;94.0;94;94;358581;T301;H;0938A;;K;F;135;N 7th St;;0.0;408.0;d1;;Y  Y;0900A;1030A;GY;;2010.0;;0.0;17 -;21-No Parking (street clean);;;
7670;6323747;7866713923;GKR6245;NY;OMS;03/20/2014;20;4DSD;HYUND;T;34830;10910;11010;20150930;18.0;18;18;355682;T106;GP;0807A;;NY;O;410;W 53rd St;;0.0;408.0;d;;Y;0800A;0600P;WHITE;;2014.0;;0.0;99 6;20A-No Parking (Non-COM);;;
7671;6608074;7767354520;GNG2227;NY;PAS;03/29/2014;71;4DSD;CHEVR;T;51550;20750;44450;20160313;120.0;120;120;349516;T303;M;0835A;;R;F;17;Tompkins St;;0.0;408.0;j6;;YYYYYYY;;;BL;;0.0;;0.0;C-AM;71A-Insp Sticker Expired (NYS);;;
7672;6914273;7913818736;GBL5869;NY;PAS;04/18/2014;14;4DSD;NISSA;T;73690;58530;60830;20140829;67.0;67;67;355151;T302;Q;0715A;;K;O;481;Rogers Ave;;0.0;408.0;c;;YYYYY;0700A;1000A;GY;;2005.0;;0.0;J 32;14-No Standing;;;
7673;5063979;7387478843;EWN7074;NY;PAS;12/29/2013;14;4DSD;MAZDA;T;59990;0;0;20140131;112.0;112;112;346343;T401;P;1224P;;Q;I;S;Queens Blvd;15ft E/of 71st Ave;0.0;408.0;c;;YYYYYYY;;;SILVE;;2010.0;;0.0;61-A;14-No Standing;;;
7674;8741061;7504750967;GRE2605;NY;OMS;06/12/2014;21;4DSD;CHEVR;T;63030;83330;55530;20150930;81.0;81;81;356970;T301;D;1206P;;K;F;1061;Myrtle Ave;;0.0;408.0;d1;;Y  Y;1200A;0130P;GY;;2014.0;;0.0;G 31;21-No Parking (street clean);;;
7678;2735820;7135473899;YFV40H;NJ;PAS;10/30/2013;19;4DSD;TOYOT;T;10910;34790;34810;88888888;18.0;18;18;355618;T106;I;0447P;;NY;F;769;9th Ave;;0.0;408.0;c3;;YYYYYYY;;;RED;;0.0;;0.0;99 -;19-No Stand (bus stop);;;
7683;638419;5070207027;DBC9349;NY;PAS;08/18/2013;7;4DSD;LEXUS;V;0;0;0;0;;0;0;0;;;0901P;;;;;OCEAN PKWY. (N)@ CHU;RCH AVE.-K1-3;0.0;1111.0;D;T;;;;WH;;2013.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
7684;2986338;7566306315;ETL3170;NY;PAS;11/07/2013;71;4DSD;TOYOT;T;24730;61120;29620;20150917;45.0;45;45;358139;T202;B;0102P;;BX;F;2870;Dill Pl;;0.0;408.0;j6;;YYYYYYY;;;GY;;1991.0;;0.0;07A;71A-Insp Sticker Expired (NYS);;;
7686;2786382;7169479473;DWK3217;NY;PAS;10/31/2013;50;4DSD;NISSA;T;0;0;0;20141225;105.0;105;105;330743;T402;L;0909A;;Q;I;E;76th Ave;0ft N/of Hewlett St;0.0;408.0;e5;;;;;BK;;2007.0;;0.0;I -;50-Crosswalk;;;
7689;1582536;7096333721;7B20A;NY;OMT;09/21/2013;38;4DSD;FORD;T;16890;8790;61090;20140228;115.0;115;115;356251;T401;B;1049A;;Q;F;37-47;82nd St;;0.0;408.0;h1;;Y;0900A;0700P;YELLO;;2011.0;;0.0;45 -;38-Failure to Display Muni Rec;;;
7693;229537;7766283931;OL9121H;NJ;PAS;08/02/2013;14;4DSD;FORD;T;64790;51090;18290;88888888;103.0;103;103;358170;T402;C;0452P;;Q;O;90-83;Sutphin Blvd;;0.0;408.0;c;;YYYYYYY;;;WHITE;;0.0;;0.0;11 -;14-No Standing;;;
7699;833960;7323076481;SKIP126;NY;SRF;08/26/2013;20;4DSD;TOYOT;T;13430;0;0;20140929;84.0;84;84;356331;T301;S;0106P;;K;I;S;Atlantic Ave;50ft W/of Boerum Pl;0.0;408.0;d;;YYYYYYY;;;GR;;2005.0;;0.0;01 -;20A-No Parking (Non-COM);;;
7704;4401078;7033387430;GHE3623;NY;PAS;12/02/2013;38;4DSD;TOYOT;T;29020;14620;29220;20150721;52.0;52;52;358141;T201;G;0540P;;BX;F;315;E Kingsbridge Rd;;0.0;408.0;h1;;Y;0900A;0700P;TN;;0.0;;0.0;28 -;38-Failure to Display Muni Rec;;;
7705;3977899;7214359030;F959VS;NY;PAS;01/15/2014;20;4DSD;TOYOT;T;78730;95030;19530;20141031;90.0;90;90;355251;T301;O;1203P;;K;F;83;S 8th St;;0.0;408.0;d;;Y;0830A;0600P;RD;;2008.0;;0.0;Q -;20A-No Parking (Non-COM);;;
7706;3373883;7985938734;80766MA;NY;COM;11/20/2013;38;4DSD;SUBAR;T;10210;17490;17510;20131221;13.0;13;13;347628;T800;B2;0943P;;NY;F;350;3rd Ave;;0.0;408.0;h1;;Y;0830A;1000P;WHITE;;2013.0;;0.0;F -;38-Failure to Display Muni Rec;;;
7712;3769954;7653966792;BTX3174;TX;PAS;01/08/2014;20;4DSD;CHEVR;T;73480;93830;26630;88880088;67.0;67;67;350335;T302;H;0308P;;K;F;205;Rockaway Pky;;0.0;408.0;d;;YYYYYYY;0700A;0700P;GREY;;0.0;;0.0;C -;20A-No Parking (Non-COM);;;
7714;2884880;7149778100;EWZ5492;NY;PAS;11/04/2013;71;4DSD;TOYOT;T;9090;10440;10590;20140330;108.0;108;108;355127;T401;C;1019A;;Q;F;47-21;38th St;;0.0;408.0;j6;;YYYYYYY;;;TN;;0.0;;0.0;45 -;71A-Insp Sticker Expired (NYS);;;
7715;388682;7563547903;4HANNAH;NY;SRF;08/08/2013;38;4DSD;HYUND;T;29620;63220;22240;20140416;45.0;45;45;358665;T202;C;0351P;;BX;F;3843;E Tremont Ave;;0.0;408.0;h1;;Y;0930A;0700P;WH;;2011.0;;0.0;07P;38-Failure to Display Muni Rec;;;
7717;5394022;7784721717;C52DWC;NJ;PAS;02/16/2014;20;4DSD;NISSA;T;11240;40090;58290;88888888;110.0;110;110;356236;T401;L;0941A;;Q;O;109-17;54th Ave;;0.0;408.0;d;;YYYYYYY;;;GREY;;0.0;;0.0;P 41;20A-No Parking (Non-COM);;;
7719;3417439;7083762594;GJB3687;NY;OMS;11/22/2013;21;4DSD;VOLKS;T;66830;19530;18630;20140930;94.0;94;94;330138;T802;A;0033A;;K;F;162;N 12th St;;0.0;408.0;d1;;Y  Y;1200A;0300A;GY;;2014.0;;0.0;51 -;21-No Parking (street clean);;;
7723;3576142;5071854405;GLV9001;NY;PAS;11/28/2013;7;4DSD;HYUND;V;0;0;0;0;;0;0;0;;;0717P;;;;;ATLANTIC AVE.(E/B)@P;ENNSLYVANIA AVE.-KS-;0.0;1111.0;D;T;;;;BK;;2013.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
7724;4072093;7024290936;VZJ15N;NJ;PAS;01/18/2014;38;4DSD;AUDI;T;21520;26130;26160;88888888;40.0;40;40;358247;T201;G;0258P;;BX;F;567;Courtlandt Ave;;0.0;408.0;h1;;Y;0900A;0700P;BLUE;;0.0;;0.0;35 -;38-Failure to Display Muni Rec;;;
7729;8279146;7623273905;DZJ7828;NY;PAS;05/27/2014;20;4DSD;HONDA;T;19530;66130;66030;20150408;94.0;94;94;345189;T730;H;0511P;;K;O;166;Berry St;;0.0;408.0;d;;YYYYY;0800A;0600P;RD;;2013.0;;0.0;09 3;20A-No Parking (Non-COM);;;
7733;8571295;7477124001;GNW1081;NY;PAS;06/06/2014;70;4DSD;NISSA;T;14810;35780;20190;20140522;112.0;112;112;356226;T402;C;0327P;;Q;F;107-40;70th Rd;;0.0;408.0;j3;;YYYYYYY;;;BLACK;;2012.0;;0.0;01 4;70A-Reg. Sticker Expired (NYS);;;
7737;1179464;7855549080;K19DDR;NJ;PAS;09/07/2013;21;4DSD;JAGUA;T;10010;17410;17430;88888888;13.0;13;13;355224;T102;I;0812A;;NY;O;363;1st Ave;;0.0;408.0;d1;;Y;0800A;0830A;GREY;;0.0;;0.0;99 -;21-No Parking (street clean);;;
7739;5789081;7580625891;EDV5722;NY;PAS;03/02/2014;40;4DSD;AUDI;T;44890;0;0;20151217;1.0;1;1;351929;T105;C;0141P;;NY;I;W;W Broadway;6ft S/of Worth St;0.0;408.0;e2;;YYYYYYY;;;TN;;2008.0;;1.0;011;40-Fire Hydrant;;;
7741;3800400;7071777822;FTJ9103;NY;PAS;01/09/2014;21;4DSD;TOYOT;T;15930;35530;77030;20151124;61.0;61;61;354174;T302;L;1013A;;K;O;3344;Bay Ct;;0.0;408.0;d1;;Y;0930A;1100A;WH;;2012.0;;0.0;N -;21-No Parking (street clean);;;
7742;4694341;7022709816;FRP3049;NY;PAS;12/12/2013;38;4DSD;NISSA;T;51720;29620;27000;20150107;48.0;48;48;358129;T201;J;0154P;;BX;F;1910;Monterey Ave;;0.0;408.0;h1;;Y;0800A;0700P;SILVE;;2012.0;;0.0;57 -;38-Failure to Display Muni Rec;;;
7743;6652816;7331522644;CJZ2583;NY;PAS;03/31/2014;21;4DSD;TOYOT;T;64220;0;0;20150321;43.0;43;43;355598;T202;O;1009A;;BX;I;N;Seward Ave;5ft E/of Noble Ave;0.0;408.0;d1;;Y  Y;0930A;1100A;GREY;;2001.0;;0.0;A 22;21-No Parking (street clean);;;
7744;6026666;7036507597;ESB1416;NY;PAS;03/10/2014;71;4DSD;BMW;T;22870;35780;57550;20160109;105.0;105;105;353104;T402;R;0302P;;Q;O;219-11;144th Ave;;0.0;408.0;j6;;YYYYYYY;;;BK;;1997.0;;0.0;K 42;71A-Insp Sticker Expired (NYS);;;
7747;487664;7887397870;FDX8827;NY;PAS;08/12/2013;71;4DSD;TOYOT;T;11110;34790;34810;20140719;18.0;18;18;330581;T501;B;1256P;;NY;F;723;11th Ave;;0.0;408.0;j6;;YYYYYYY;;;GY;;2011.0;;0.0;CU -;71A-Insp Sticker Expired (NYS);;;
7748;4796216;7550183053;CSK2273;NY;PAS;12/23/2013;70;4DSD;INFIN;T;65530;57030;58330;20131113;94.0;94;94;356185;T301;A;1010A;;K;O;160;Noble St;;0.0;408.0;j3;;YYYYYYY;;;GREY;;2001.0;;0.0;17 -;70A-Reg. Sticker Expired (NYS);;;
7750;5569231;7832388365;CZ6D243;TX;PAS;02/23/2014;19;4DSD;TOYOT;T;17450;10210;10110;88880088;13.0;13;13;345238;T102;A;1115A;;NY;F;246;E 23rd St;;0.0;408.0;c3;;YYYYYYY;;;BLUE;;0.0;;0.0;CC1;19-No Stand (bus stop);;;
7751;5066144;7570388562;DEZ5209;NY;PAS;12/27/2013;38;4DSD;TOYOT;T;16620;72620;10620;20150317;47.0;47;47;358935;T202;E;1010A;;BX;F;774;Burke Ave;;0.0;408.0;h1;;Y;0830A;0700P;BLACK;;1997.0;;0.0;22P;38-Failure to Display Muni Rec;;;
7757;8165379;7657739216;JJB6339;PA;PAS;05/22/2014;38;4DSD;CHEVR;T;10410;19450;19470;20140888;26.0;26;26;359282;T103;H;0158P;;NY;F;2032;5th Ave;;0.0;408.0;h1;;Y;0900A;0700A;WHITE;;0.0;;0.0;33 7;38-Failure to Display Muni Rec;;;
7761;3811672;7806635233;EMG4990;NY;PAS;01/09/2014;71;4DSD;ME/BE;T;37880;13780;32930;20141016;67.0;67;67;355099;T302;L;0625A;;K;O;753;E 92nd St;;0.0;408.0;j6;;YYYYYYY;;;TAN;;1992.0;;0.0;L -;71A-Insp Sticker Expired (NYS);;;
7762;6167284;7582753690;DWJ5918;NY;PAS;03/14/2014;70;4DSD;BMW;T;27540;66110;20820;20131210;45.0;45;45;358565;T202;A;0834A;;BX;F;2955;E 196th St;;0.0;408.0;j3;;YYYYYYY;;;WH;;2007.0;;0.0;06A;70A-Reg. Sticker Expired (NYS);;;
7768;1700894;7231566870;AGH5149;NY;PAS;09/25/2013;14;4DSD;TOYOT;T;67030;13880;65030;20150430;60.0;60;60;355553;T302;H;0803P;;K;O;1864;Nostrand Ave;;0.0;408.0;c;;YYYYYYY;;;TN;;2001.0;;0.0;CC1;14-No Standing;;;
7771;3117316;7327909254;FMC7380;NY;PAS;11/12/2013;38;4DSD;HYUND;T;64290;7790;7990;20150509;114.0;114;114;357781;T401;Q;1033A;;Q;F;30-96;Steinway St;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2011.0;;0.0;28 -;38-Failure to Display Muni Rec;;;
7776;4472714;7292992146;6RIH217;CA;PAS;12/05/2013;38;4DSD;HYUND;T;10210;18370;18390;20130088;19.0;19;19;358573;T103;G;1026A;;NY;O;1191;3rd Ave;;0.0;408.0;h1;;Y;0800A;0700P;GREY;;0.0;;0.0;55 -;38-Failure to Display Muni Rec;;;
7777;7673749;7076078697;JMA8067;PA;PAS;05/06/2014;38;4DSD;INFIN;T;13610;37240;37250;20141288;33.0;33;33;359611;T103;R;0255P;;NY;O;4123;Broadway;;0.0;408.0;h1;;Y;0830A;0700P;OTHER;;0.0;;0.0;08 7;38-Failure to Display Muni Rec;;;
7783;4113152;7751149735;RR8A85;PA;PAS;01/20/2014;38;4DSD;AUDI;T;29620;44820;73220;20140288;45.0;45;45;358902;T202;D;1258P;;BX;F;3168;E Tremont Ave;;0.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;;0.0;07P;38-Failure to Display Muni Rec;;;
7785;7793515;7686669993;GNG1492;NY;PAS;05/09/2014;71;4DSD;HONDA;T;77150;49170;47520;20160219;49.0;49;49;359297;T202;C;0120P;;BX;F;2129;White Plains Rd;;0.0;408.0;j6;;YYYYYYY;;;GY;;2006.0;;0.0;02P;71A-Insp Sticker Expired (NYS);;;
7786;6639454;7644376276;YJK52E;NJ;PAS;03/31/2014;21;4DSD;TOYOT;T;59990;68690;14640;88888888;112.0;112;112;358601;T401;K;0806A;;Q;F;105-10;Queens Blvd;;0.0;408.0;d1;;Y;0800A;0600P;BLACK;;0.0;;0.0;57-A;21-No Parking (street clean);;;
7788;5772497;7345417591;BMQX66;FL;PAS;03/01/2014;13;4DSD;BMW;T;27790;18130;18150;20140088;17.0;17;17;330692;T503;B1;0900A;;NY;F;460;Park Ave;;0.0;408.0;c2;;YYYYYYY;;;BLUE;;0.0;;0.0;07 7;13-No Stand (taxi stand);;;
7789;7836178;7448385549;CSD2431;NY;PAS;05/10/2014;38;4DSD;TOYOT;T;59990;0;0;20151012;102.0;102;102;358915;T402;G;1021A;;Q;I;S;Queens Blvd;100ft E/of 83rd Ave;0.0;408.0;h1;;Y;0730A;0700P;GY;;2003.0;;0.0;01 4;38-Failure to Display Muni Rec;;;
7790;1730627;5070889783;BWX1701;NY;PAS;09/26/2013;7;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;0820P;;;;;SUNRISE HWY.(W/B) @;BROOKVILLE BLVD.-RR-;0.0;1111.0;D;T;;;;MR;;2013.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
7799;5760589;7412736619;3445886;NH;PAS;03/01/2014;68;4DSD;VOLKS;T;0;0;0;20140588;44.0;44;44;357682;T201;M;1041A;;BX;I;N;E 158th St;75ft E/of Walton Ave;0.0;408.0;a1;;;;;SILVE;;0.0;;0.0;F 21;68-Not Pkg. Comp. w Psted Sign;;;
7803;223747;7271584675;GBV9703;NY;PAS;08/02/2013;24;4DSD;JAGUA;T;19890;24995;12650;20140910;9.0;9;9;351280;T105;M;0733A;;NY;F;442;E Houston St;;0.0;408.0;d5;;YYYYY;0700A;0400P;BK;;2009.0;;0.0;P -;24-No Parking (exc auth veh);;;
7809;5593665;7143575987;ENL9380;PA;PAS;02/24/2014;38;4DSD;CHRYS;T;15540;8590;8790;20140588;115.0;115;115;355150;T401;F;0305P;;Q;O;35-68;73rd St;;0.0;408.0;h1;;Y;0800A;0700P;GREY;;0.0;;0.0;20 4;38-Failure to Display Muni Rec;;;
7815;1829924;7074506813;EJR3882;NY;PAS;09/30/2013;19;4DSD;NISSA;T;51090;20640;20740;88888888;102.0;102;102;350882;T402;A;1222P;;Q;F;113-08;Jamaica Ave;;0.0;408.0;c3;;YYYYYYY;;;WHITE;;0.0;;0.0;17 -;19-No Stand (bus stop);;;
7818;480796;7227552585;BXJ7951;NY;PAS;08/12/2013;20;4DSD;MERCU;T;64230;22030;21980;20150704;60.0;60;60;356963;T302;H;0159P;;K;F;281;Neptune Ave;;0.0;408.0;d;;YYYYYYY;;;GR;;0.0;;0.0;N -;20A-No Parking (Non-COM);;;
7824;1220254;7018126861;ALP6569;NY;PAS;09/09/2013;38;4DSD;CHEVR;T;15350;45490;24750;20150722;1.0;1;1;358847;T105;D;0258P;;NY;F;234;Church St;;0.0;408.0;h1;;Y;0800A;0700P;GY;;2009.0;;0.0;082;38-Failure to Display Muni Rec;;;
7830;8200104;7744202934;JME4721;PA;PAS;05/23/2014;19;4DSD;FORD;T;14920;75125;48720;20150388;52.0;52;52;355281;T801;B;0823P;;BX;F;5987;Broadway;;0.0;408.0;c3;;YYYYYYY;;;BLACK;;0.0;;0.0;K 21;19-No Stand (bus stop);;;
